a,z,V,c,s
0.55859375,0.925,-49.413323051293,1.1083372553084,-0.177751317808397
0.55859375,0.95,-49.3349910748327,1.11351744892618,-0.15793151142618
0.55859375,0.975,-49.2574151422317,1.11850135020942,-0.137915412709422
0.55859375,1,-49.1805927924973,1.12329694257881,-0.117711005078808
0.55859375,1.025,-49.1048559830333,1.12780883416219,-0.0972228966621884
0.55859375,1.05,-49.0297678445437,1.13219155314223,-0.0766056156422272
0.55859375,1.075,-48.9552686756917,1.13646806496171,-0.0558821274617063
0.55859375,1.1,-48.881328157526,1.14065006339057,-0.0350641258905733
0.55859375,1.125,-48.8079253644429,1.14474243624521,-0.0141564987452087
0.55859375,1.15,-48.7350621729819,1.15206327914242,0.00352265835757537
0.55859375,1.175,-48.6628575281913,1.15588071500024,0.024705222499755
0.55859375,1.2,-48.5937647152672,1.15950743650981,0.0460785009901916
0.640625,0.8,-49.7444710758138,1.08436494200252,-0.277958692002522
0.640625,0.825,-49.6657694147504,1.09028969607453,-0.258883446074533
0.640625,0.85,-49.584922742444,1.09620166540936,-0.239795415409364
0.640625,0.875,-49.5048189668289,1.10187621553392,-0.220469965533918
0.640625,0.9,-49.4255396517924,1.10732031942646,-0.20091406942646
0.640625,0.925,-49.347049691587,1.112551621371,-0.181145371370997
0.640625,0.95,-49.2693136231728,1.11758745473186,-0.161181204731865
0.640625,0.975,-49.1923046598413,1.12244277368043,-0.141036523680433
0.640625,1,-49.116022089687,1.1271245467577,-0.120718296757697
0.640625,1.025,-49.0407885643445,1.13154297200643,-0.100136722006432
0.640625,1.05,-48.9661843842685,1.13584111533931,-0.0794348653393107
0.640625,1.075,-48.8921527236645,1.14004001730526,-0.0586337673052608
0.640625,1.1,-48.8186648726224,1.1441503189829,-0.0377440689828974
0.640625,1.125,-48.7457007601731,1.14817633951952,-0.0167700895195173
0.640625,1.15,-48.673256738863,1.15539717030653,0.00100907969346986
0.640625,1.175,-48.6014596597839,1.15916587317947,0.0222403768205326
0.640625,1.2,-48.5327503281957,1.16274853448495,0.0436577155150484
0.72265625,0.8,-49.6753475462193,1.08937326241931,-0.282146699919311
0.72265625,0.825,-49.5973655176718,1.09508856066008,-0.262861998160082
0.72265625,0.85,-49.5172268626251,1.10080031780539,-0.243573755305388
0.72265625,0.875,-49.4377936019592,1.10629276286733,-0.224066200367333
0.72265625,0.9,-49.3591494895518,1.11157251504514,-0.204345952545137
0.72265625,0.925,-49.2812626420408,1.11665614469537,-0.184429582195372
0.72265625,0.95,-49.2041005691075,1.12155969786069,-0.164333135360694
0.72265625,0.975,-49.1276390136329,1.12629680939421,-0.144070246894214
0.72265625,1,-49.051878794779,1.13087351303826,-0.123646950538257
0.72265625,1.025,-48.9771338296571,1.13520503475089,-0.102978472250892
0.72265625,1.05,-48.9030001932658,1.1394242289442,-0.0821976664442048
0.72265625,1.075,-48.8294236781857,1.14355043967785,-0.0613238771778479
0.72265625,1.1,-48.7563770365599,1.14759340320786,-0.0403668407078563
0.72265625,1.125,-48.6838410007642,1.15155729658607,-0.0193307340860747
0.72265625,1.15,-48.6118074685189,1.1572265625,0
0.72265625,1.175,-48.540409310046,1.16243089014452,0.0197956723554809
0.72265625,1.2,-48.4720756155882,1.16596240107782,0.0412641614221794
0.8046875,0.8,-49.6068331570723,1.09420518839137,-0.286158313391365
0.8046875,0.825,-49.5295376173825,1.09972849514098,-0.266681620140984
0.8046875,0.85,-49.4500758078456,1.10525692682795,-0.247210051827951
0.8046875,0.875,-49.3712850440154,1.11058268730413,-0.227535812304129
0.8046875,0.9,-49.2932510414255,1.1157119151454,-0.207665040145395
0.8046875,0.925,-49.2159448457471,1.1206600824315,-0.187613207431496
0.8046875,0.95,-49.1393366530232,1.12544198874876,-0.167395113748755
0.8046875,0.975,-49.0634044748064,1.13007003564357,-0.147023160643574
0.8046875,1,-48.9881504696413,1.13454940493188,-0.126502529931883
0.8046875,1.025,-48.9138803367753,1.13879986911013,-0.105752994110125
0.8046875,1.05,-48.8402046894994,1.1429451533296,-0.084898278329602
0.8046875,1.075,-48.7670717133194,1.14700310324881,-0.063956228248806
0.8046875,1.1,-48.694455501527,1.15098273135605,-0.0429358563560474
0.8046875,1.125,-48.622337696736,1.15488952210029,-0.0218426471002944
0.8046875,1.15,-48.5507096971341,1.15871593675876,-0.000669061758763911
0.8046875,1.175,-48.479701433123,1.16562549049941,0.0174213845005848
